id,cloud provider,Total Ram,Total CPU,Total Disk Space (GB),Cpu Utilization,Network Latency (milliseconds),Cost Per Year ($),Average IOPS,classification
67,AWS,1,1,8,46.01,42,163,746,underutilized
68,On-prem,8,1,8,87.56,77,355.8,920,overutilized
69,GCP,4,2,8,61.89,125,326.2,854,optimal
70,AWS,1,1,8,91.09,117,162.6,837,overutilized
71,AWS,16,4,16,40.32,108,888.8,894,underutilized
72,On-prem,64,16,32,68.41,107,2671.6,1276,optimal
73,GCP,2,1,8,55.56,129,202.4,783,underutilized
74,GCP,4,2,8,97.41,61,324,797,overutilized
75,AWS,32,16,16,49.52,141,2037.2,1020,overutilized
76,AWS,2,1,8,67.2,68,203.2,855,optimal
77,On-prem,8,1,8,74.3,286,355.8,742,overutilized
78,AWS,32,16,16,82.28,81,2037.6,1171,overutilized
79,AWS,4,2,8,65.11,83,323.8,837,optimal
80,GCP,16,8,16,51.18,111,1058.6,1103,underutilized
81,AWS,1,1,8,73.55,144,162.8,835,overutilized
82,AWS,64,16,32,62.87,76,3345.6,1778,overutilized
83,On-prem,64,16,32,49.41,142,2671.4,1719,overutilized
84,GCP,16,4,16,72.35,92,893.6,1119,optimal
85,AWS,2,1,8,97.4,41,202.8,777,overutilized
86,AWS,8,1,8,46.51,140,444.4,991,underutilized
87,AWS,16,4,16,57.76,49,891,931,underutilized
88,On-prem,2,1,8,46.37,145,162.6,700,underutilized
89,AWS,16,4,16,87.89,67,891.4,1030,overutilized
90,AWS,4,1,8,74.47,45,284.8,982,optimal
91,On-prem,1,1,8,51.26,158,129.8,704,underutilized
92,GCP,1,1,8,78.89,59,163,793,optimal
93,On-prem,8,1,8,47.55,81,356.2,1003,underutilized
94,On-prem,2,1,8,75.85,287,162,941,overutilized
95,GCP,16,4,16,41.88,69,891.4,908,underutilized
96,AWS,32,16,16,41.96,112,2039.8,1122,underutilized
97,On-prem,32,16,16,65.35,228,1629.2,1071,optimal
98,AWS,4,1,8,56.12,129,285.2,731,underutilized
99,On-prem,8,1,8,53.09,165,356.4,937,underutilized
100,GCP,64,16,32,54.28,57,3342.6,1335,underutilized
101,AWS,4,2,8,68.46,85,325,972,optimal
102,AWS,64,16,32,81.15,56,3331.4,1490,overutilized
103,AWS,64,16,32,91.81,102,3334.8,1412,overutilized
104,AWS,2,1,8,65.19,110,203.8,770,optimal
105,GCP,2,1,8,89.79,93,203.4,776,overutilized
106,AWS,1,1,8,92.38,51,162.6,672,overutilized
107,AWS,32,16,16,56.43,87,2040,1122,underutilized
108,AWS,8,2,8,51.28,49,488.8,1048,underutilized
109,GCP,32,16,16,45.69,111,2020.4,945,underutilized
110,On-prem,32,16,16,95.52,97,1620,921,overutilized
111,AWS,8,2,8,89.78,77,487,765,overutilized
112,AWS,4,1,8,60.66,104,284,713,optimal
113,GCP,1,1,8,95.2,90,162.6,673,overutilized
114,AWS,64,16,32,43.21,75,3339.8,1665,underutilized
115,On-prem,4,2,8,63.24,108,260.6,752,optimal
116,AWS,32,16,16,92.39,101,2025.4,970,overutilized
117,AWS,8,1,8,51.55,149,446,866,overutilized
118,On-prem,2,1,8,94.29,212,162.8,811,overutilized
119,AWS,32,16,16,70.22,78,2024.6,1284,optimal
120,AWS,8,1,8,57.23,46,445.6,951,underutilized
121,AWS,8,2,8,64.76,140,484.8,937,optimal
122,AWS,1,1,8,42.29,148,163,818,overutilized
123,AWS,64,16,32,73.33,63,3345.4,1460,optimal
124,GCP,2,1,8,85.94,57,203.6,827,overutilized
125,GCP,16,8,16,89.15,51,1050.6,853,overutilized
126,AWS,4,2,8,47.66,140,325.2,928,underutilized
127,AWS,8,1,8,67.05,95,446,719,optimal
128,AWS,8,2,8,73.49,47,486.8,989,optimal
129,On-prem,2,1,8,97.15,126,163,691,overutilized
130,On-prem,32,16,16,88.53,247,1629,922,overutilized
131,GCP,32,16,16,54.74,96,2024,952,underutilized
132,AWS,2,1,8,67.56,74,203.2,869,optimal
133,GCP,1,1,8,46.6,120,162.4,842,underutilized
134,On-prem,16,4,16,64.05,287,713.2,1128,overutilized
135,AWS,16,8,16,83.29,80,1053.2,946,overutilized
136,On-prem,2,1,8,91.29,63,161.6,908,overutilized
137,AWS,8,2,8,91.17,119,487,1027,overutilized
138,AWS,4,2,8,90.35,78,326,761,overutilized
139,GCP,64,16,32,73.5,51,3325.8,1688,optimal
140,AWS,32,16,16,77.62,59,2024,1178,optimal
141,On-prem,4,1,8,82.85,131,226.4,762,overutilized
142,AWS,16,8,16,40.35,112,1053.6,793,underutilized
143,On-prem,64,16,32,92.53,171,2667.4,1350,overutilized
144,AWS,8,1,8,54.18,80,447.4,742,underutilized
145,GCP,1,1,8,86.66,60,162,827,overutilized
146,AWS,8,2,8,90.11,144,486.2,775,overutilized
147,GCP,32,16,16,97.22,127,2031.4,1187,overutilized
148,AWS,64,16,32,43.78,137,3329.6,1464,underutilized
149,On-prem,8,1,8,89.88,294,357.8,893,overutilized
150,On-prem,2,1,8,86.47,72,162.8,882,overutilized
151,AWS,32,16,16,85.66,127,2029.6,1074,overutilized
152,AWS,16,4,16,46.55,58,890.6,1050,underutilized
153,On-prem,64,16,32,80.43,194,2660.8,1239,overutilized
154,GCP,64,16,32,48.38,118,3343,1425,underutilized
155,On-prem,32,16,16,77.23,204,1632,1025,optimal
156,AWS,4,1,8,74.94,82,283,832,optimal
157,GCP,8,2,8,41.31,148,487.8,1024,overutilized
158,On-prem,32,16,16,65.92,168,1627.4,1204,optimal
159,On-prem,16,4,16,88.37,187,715.8,887,overutilized
160,On-prem,2,1,8,71.56,241,162,942,optimal
161,GCP,1,1,8,88.24,97,162.4,734,overutilized
162,AWS,64,16,32,64.55,100,3322.2,1438,optimal
163,On-prem,64,16,32,88.42,175,2656.2,1490,overutilized
164,AWS,1,1,8,53.04,62,162.4,954,underutilized
165,GCP,64,16,32,90.04,100,3332.2,1290,overutilized
166,AWS,16,8,16,67.59,93,1055.2,1111,optimal
167,AWS,64,16,32,44.14,54,3343,1361,underutilized
168,On-prem,1,1,8,71.26,90,129.8,778,optimal
169,AWS,16,4,16,52.35,107,893.8,1017,underutilized
170,AWS,16,4,16,91.18,49,894,934,overutilized
171,GCP,4,2,8,43.5,145,323.6,738,overutilized
172,On-prem,4,2,8,88.52,290,259.8,843,overutilized
173,AWS,4,1,8,54.58,96,284.6,801,underutilized
174,AWS,64,16,32,90.15,74,3321,1728,overutilized
175,GCP,2,1,8,47.94,100,203.4,828,underutilized
176,AWS,64,16,32,94.65,124,3317.6,1750,overutilized
177,On-prem,16,8,16,94.47,180,847.4,1024,overutilized
178,On-prem,4,2,8,81.5,241,260,723,overutilized
179,GCP,64,16,32,45.78,72,3339.8,1504,underutilized
180,AWS,4,1,8,64.27,100,283,962,optimal
181,GCP,2,1,8,45,104,202.2,805,underutilized
182,AWS,32,16,16,71.27,107,2024.4,991,optimal
183,AWS,32,16,16,88.2,44,2038,1279,overutilized
184,AWS,32,16,16,52.43,63,2028.8,1174,underutilized
185,GCP,8,2,8,67.92,137,485,995,optimal
186,On-prem,4,1,8,94.1,252,226.8,781,overutilized
187,On-prem,64,16,32,57.91,281,2669.4,1610,overutilized
188,GCP,64,16,32,84.93,125,3316.6,1359,overutilized
189,AWS,64,16,32,60.96,140,3334.4,1691,optimal
190,AWS,1,1,8,61.56,142,162.4,942,overutilized
191,On-prem,64,16,32,92.03,236,2658.6,1534,overutilized
192,AWS,16,4,16,86.72,56,892.2,1039,overutilized
193,GCP,16,4,16,89.85,66,896.6,1042,overutilized
194,GCP,32,16,16,59.02,147,2026.4,938,overutilized
195,GCP,4,1,8,59.49,84,285.4,864,underutilized
196,AWS,4,1,8,80.16,116,285.4,683,overutilized
197,On-prem,8,1,8,42.42,266,357.2,926,underutilized
198,AWS,16,8,16,66.47,136,1051.2,960,optimal
199,GCP,16,8,16,78.85,122,1059,976,optimal
200,AWS,64,16,32,41.46,96,3333,1269,underutilized
201,On-prem,2,1,8,54.8,192,162.4,690,underutilized
202,AWS,4,1,8,90.01,148,285,872,overutilized
203,AWS,8,1,8,40.1,132,446.6,999,underutilized
204,AWS,32,16,16,78.27,74,2021.6,1072,optimal
205,On-prem,16,4,16,44.54,81,712.4,874,underutilized
206,AWS,2,1,8,65,101,202.8,833,optimal
207,On-prem,64,16,32,70.79,188,2654.8,1489,optimal
208,AWS,4,2,8,80.53,56,323.8,982,overutilized
209,On-prem,1,1,8,86.41,111,129.4,839,overutilized
210,On-prem,1,1,8,87.54,154,130.2,666,overutilized
211,AWS,8,2,8,72.17,147,487.8,873,overutilized
212,GCP,4,2,8,56.97,103,326,844,underutilized
213,GCP,1,1,8,63.81,126,162,958,optimal
214,AWS,1,1,8,93.71,95,162.2,706,overutilized
215,AWS,64,16,32,86.25,95,3315.8,1538,overutilized
216,GCP,1,1,8,66.07,58,162.6,890,optimal
217,GCP,8,1,8,77.51,128,447.8,932,optimal
218,AWS,4,2,8,56.57,50,323.8,847,underutilized
219,GCP,16,8,16,91.61,146,1055.6,856,overutilized
220,AWS,4,1,8,75.5,149,283,791,overutilized
221,AWS,8,1,8,94.15,57,445.6,830,overutilized
222,AWS,8,2,8,55.31,60,487.8,1020,underutilized
223,GCP,4,2,8,89.61,49,324.8,972,overutilized
224,GCP,4,1,8,79.92,99,284.4,712,optimal
225,On-prem,8,2,8,94.65,133,391.4,748,overutilized
226,On-prem,2,1,8,43.97,154,162.2,672,underutilized
227,AWS,32,16,16,59.67,149,2037.8,1023,overutilized
228,AWS,1,1,8,76.64,137,162.6,669,optimal
229,GCP,4,2,8,97.53,104,325.6,744,overutilized
230,GCP,8,1,8,80.18,55,445,840,overutilized
231,AWS,2,1,8,79.09,108,203.2,890,optimal
232,On-prem,2,1,8,82.72,198,162.6,863,overutilized
233,AWS,64,16,32,82.16,119,3323,1684,overutilized
234,AWS,8,1,8,75.01,141,448.8,977,overutilized
235,GCP,32,16,16,58.48,136,2034.8,1297,underutilized
236,AWS,1,1,8,63.92,86,163,831,optimal
237,AWS,32,16,16,59.36,150,2021.8,1166,overutilized
238,On-prem,1,1,8,46.29,241,129.6,783,underutilized
239,GCP,4,2,8,63.65,48,324.6,790,optimal
240,AWS,4,2,8,78.46,127,324.4,975,optimal
241,GCP,4,2,8,48.16,119,324.8,715,underutilized
242,AWS,4,2,8,56.5,77,326.2,916,underutilized
243,GCP,32,16,16,61.75,82,2029.8,1292,optimal
244,AWS,32,16,16,61.05,42,2025.8,1134,optimal
245,GCP,2,1,8,61.25,139,203,849,optimal
246,On-prem,2,1,8,76.27,253,162.2,802,optimal
247,On-prem,1,1,8,64.67,254,130.4,825,optimal
248,AWS,32,16,16,73.09,76,2039,1202,optimal
249,On-prem,2,1,8,74.18,271,161.6,906,optimal
250,On-prem,4,1,8,42.37,231,228,911,underutilized
251,GCP,8,2,8,60.11,148,489,889,overutilized
252,On-prem,16,8,16,85.12,60,847.4,1050,overutilized
253,AWS,1,1,8,93.45,107,162.6,700,overutilized
254,AWS,64,16,32,93.61,77,3325,1488,overutilized
255,GCP,1,1,8,46.08,70,162.2,687,underutilized
256,GCP,16,8,16,42.37,139,1055,1118,underutilized
257,AWS,1,1,8,91.69,104,161.8,935,overutilized
258,GCP,2,1,8,66.73,46,203.8,858,optimal
259,GCP,4,1,8,63.58,109,284.4,714,optimal
260,AWS,16,8,16,75.29,114,1059.2,1142,optimal
261,GCP,16,4,16,92.57,104,893.4,830,overutilized
262,On-prem,8,2,8,71.5,178,388,1003,optimal
263,AWS,1,1,8,62.75,60,163,900,optimal
264,On-prem,2,1,8,68.81,50,162.6,659,optimal
265,GCP,16,8,16,77.11,60,1053.2,932,optimal
266,AWS,16,8,16,41.42,129,1055,829,underutilized
267,GCP,2,1,8,74.14,40,203.8,904,optimal
268,On-prem,8,2,8,97.88,85,390.2,1033,overutilized
269,AWS,16,8,16,80.8,50,1056.8,1032,overutilized
270,GCP,8,2,8,68.98,89,486.4,861,optimal
271,AWS,2,1,8,79.18,46,203.4,668,optimal
272,AWS,4,1,8,79.46,41,282.8,743,optimal
273,AWS,4,2,8,54.67,130,324.4,800,underutilized
274,AWS,4,1,8,93.34,105,283.6,846,overutilized
275,GCP,1,1,8,78.82,114,162.2,915,optimal
276,On-prem,2,1,8,68.41,80,162,969,optimal
277,On-prem,32,16,16,87.84,229,1630.6,1250,overutilized
278,GCP,16,4,16,94.62,128,892.2,796,overutilized
279,On-prem,2,1,8,50.21,71,162.8,910,underutilized
280,On-prem,1,1,8,54.37,287,130.2,842,overutilized
281,GCP,2,1,8,69.15,99,202.8,791,optimal
282,AWS,8,1,8,74.66,58,447,1041,optimal
283,GCP,16,4,16,50.47,52,895.2,1047,underutilized
284,AWS,8,2,8,86.01,103,488.6,759,overutilized
285,GCP,1,1,8,82.08,104,162.6,643,overutilized
286,On-prem,64,16,32,85.69,61,2672.2,1278,overutilized
287,On-prem,2,1,8,45.48,171,162.6,860,underutilized
288,AWS,32,16,16,70.3,124,2034.8,1281,optimal
289,AWS,2,1,8,66.67,96,202.6,869,optimal
290,GCP,8,1,8,44.59,121,447.8,823,underutilized
291,AWS,1,1,8,61.27,89,162,792,optimal
292,On-prem,1,1,8,54.14,51,130.6,844,underutilized
293,GCP,16,8,16,76.93,150,1054.4,785,overutilized
294,GCP,2,1,8,57.2,81,203.6,764,underutilized
295,AWS,8,2,8,80.98,49,487.4,880,overutilized
296,GCP,64,16,32,40.35,68,3341.8,1705,overutilized
297,AWS,32,16,16,87.28,108,2037.4,1009,overutilized
298,AWS,16,4,16,41.8,107,893.6,806,underutilized
299,AWS,32,16,16,53.85,47,2021.2,1062,underutilized
300,On-prem,1,1,8,48.73,186,129.6,753,underutilized
301,GCP,1,1,8,49.23,102,161.6,864,underutilized
302,AWS,8,2,8,64.13,119,487.4,710,optimal
303,AWS,8,1,8,74.01,62,444.6,889,optimal
304,AWS,32,16,16,57.81,42,2020.6,985,underutilized
305,GCP,4,1,8,67.35,44,284,776,optimal
306,On-prem,8,1,8,57.73,123,355.8,799,underutilized
307,AWS,32,16,16,47.05,88,2030.2,1035,underutilized
308,AWS,4,1,8,77.81,140,284.2,907,optimal
309,AWS,1,1,8,57.1,70,162,680,underutilized
310,AWS,2,1,8,76.8,72,203.6,901,optimal
311,AWS,16,8,16,61.68,88,1054.8,905,optimal
312,AWS,2,1,8,87.32,48,202.2,732,overutilized
313,On-prem,2,1,8,80.47,72,162.8,880,overutilized
314,AWS,16,8,16,67.75,79,1051.6,932,optimal
315,GCP,4,2,8,87.88,103,325.4,978,overutilized
316,AWS,2,1,8,75.28,142,203,839,overutilized
317,AWS,1,1,8,54.67,80,162,691,underutilized
318,AWS,32,16,16,86.47,122,2030.8,982,overutilized
319,AWS,16,4,16,91.38,55,889.8,994,overutilized
320,GCP,2,1,8,48.51,57,202.8,894,underutilized
321,GCP,64,16,32,60.78,65,3338.8,1634,optimal
322,On-prem,1,1,8,66.38,233,130.4,954,optimal
323,AWS,4,1,8,61.29,78,283.4,789,optimal
324,GCP,64,16,32,97.94,88,3329.2,1745,overutilized
325,GCP,1,1,8,54.06,150,163.2,725,overutilized
326,On-prem,64,16,32,80.03,184,2667.4,1310,overutilized
327,AWS,4,2,8,63.28,50,325.8,917,optimal
328,AWS,16,8,16,44.94,100,1056.4,1069,underutilized
329,AWS,64,16,32,74.36,54,3342.8,1573,optimal
330,On-prem,1,1,8,83.14,287,130.2,886,overutilized
331,GCP,8,2,8,75.77,144,487.6,831,overutilized
332,AWS,8,2,8,80.19,140,486.2,980,overutilized
333,AWS,1,1,8,53.03,98,162,849,underutilized
334,AWS,64,16,32,53.26,86,3331.6,1697,underutilized
335,AWS,16,4,16,90.9,130,892.8,1143,overutilized
336,GCP,2,1,8,61.43,92,203.6,795,optimal
337,AWS,2,1,8,97.54,50,203.2,861,overutilized
338,On-prem,4,1,8,96.96,190,227.6,717,overutilized
339,GCP,4,1,8,54.25,149,284.8,741,overutilized
340,GCP,4,1,8,76.23,96,283.6,706,optimal
341,AWS,16,8,16,45.7,134,1052.8,969,underutilized
342,On-prem,4,2,8,74.72,179,259.4,948,optimal
343,AWS,1,1,8,51.47,141,162.4,766,overutilized
344,AWS,64,16,32,80.57,69,3341,1384,overutilized
345,AWS,64,16,32,63.82,42,3340.8,1583,optimal
346,GCP,16,4,16,55.53,71,891.6,1072,underutilized
347,AWS,16,8,16,55.12,95,1051.4,1122,underutilized
348,GCP,32,16,16,73.8,144,2020.8,1115,overutilized
349,AWS,64,16,32,78.85,118,3338.4,1728,overutilized
350,On-prem,2,1,8,92.07,91,163,818,overutilized
351,GCP,16,4,16,91.91,90,892.2,807,overutilized
352,GCP,4,1,8,58.1,125,284,736,underutilized
353,AWS,1,1,8,46.23,66,163,816,underutilized
354,GCP,32,16,16,95,60,2021.6,1129,overutilized
355,On-prem,32,16,16,86.3,162,1626.6,1043,overutilized
356,AWS,16,8,16,58.99,104,1057.4,834,underutilized
357,GCP,1,1,8,44.49,130,163,948,underutilized
358,On-prem,32,16,16,93.81,55,1616.8,1195,overutilized
359,AWS,2,1,8,77.5,121,202.8,650,optimal
360,AWS,8,1,8,71.29,139,447.6,706,optimal
361,GCP,1,1,8,44.78,76,162.8,841,underutilized
362,AWS,64,16,32,81.42,117,3320.2,1385,overutilized
363,AWS,8,2,8,80.4,104,485.2,860,overutilized
364,AWS,64,16,32,59.84,98,3320.8,1620,underutilized
365,AWS,4,2,8,43.74,67,323.6,821,underutilized
366,AWS,32,16,16,82.15,122,2033.6,1360,overutilized
367,AWS,4,1,8,55.87,41,285.2,728,underutilized
368,On-prem,16,8,16,74.34,255,848.6,1129,optimal
369,AWS,2,1,8,69.35,105,202.8,798,optimal
370,AWS,2,1,8,73.16,105,202,865,optimal
371,GCP,16,4,16,57.36,75,891.8,1006,underutilized
372,GCP,16,4,16,42.83,118,894.4,895,underutilized
373,AWS,64,16,32,75.49,55,3327.6,1492,optimal
374,GCP,8,2,8,49.63,138,488.6,748,underutilized
375,GCP,2,1,8,67.56,130,204,931,optimal
376,AWS,4,2,8,75.69,119,323.4,712,optimal
377,GCP,32,16,16,82.53,69,2032.8,961,overutilized
378,AWS,1,1,8,91.86,47,163,833,overutilized
379,AWS,1,1,8,54.18,62,162.2,835,underutilized
380,GCP,1,1,8,45.95,134,163,692,underutilized
381,AWS,8,2,8,66.01,109,487,1048,optimal
382,AWS,64,16,32,94.6,116,3334,1394,overutilized
383,On-prem,64,16,32,93.76,69,2651.4,1762,overutilized
384,GCP,32,16,16,93.1,45,2024,1320,overutilized
385,GCP,4,1,8,94.79,51,283.6,734,overutilized
386,On-prem,4,2,8,60.57,133,259.6,923,optimal
387,AWS,8,2,8,82.64,149,486.6,906,overutilized
388,AWS,16,8,16,61.18,150,1055.4,909,overutilized
389,AWS,1,1,8,52.34,100,162.6,914,underutilized
390,AWS,4,1,8,86.15,118,284.4,993,overutilized
391,AWS,16,8,16,44.15,69,1053.2,834,underutilized
392,AWS,32,16,16,53.39,79,2033.2,936,underutilized
393,AWS,8,1,8,91.95,129,445.6,991,overutilized
394,AWS,1,1,8,93.91,70,163,736,overutilized
395,On-prem,32,16,16,65.32,287,1628.4,1086,overutilized
396,GCP,64,16,32,64.19,62,3324.8,1796,overutilized
397,GCP,32,16,16,54.55,98,2034.8,1147,underutilized
398,AWS,2,1,8,74.55,46,203.4,732,optimal
399,GCP,8,2,8,73.96,63,488,1044,optimal
400,AWS,4,2,8,72.29,139,324,695,optimal
401,AWS,2,1,8,86.54,119,203.8,756,overutilized
402,AWS,4,1,8,80.23,49,284.2,822,overutilized
403,GCP,16,8,16,85.39,69,1057.6,819,overutilized
404,GCP,64,16,32,72.26,149,3336.2,1523,overutilized
405,GCP,8,2,8,81.31,86,487.4,1032,overutilized
406,On-prem,1,1,8,91.31,88,129.4,792,overutilized
407,On-prem,32,16,16,65.01,199,1626,1255,optimal
408,AWS,32,16,16,50.35,134,2026.4,1178,underutilized
409,GCP,64,16,32,60.12,69,3317,1576,optimal
410,AWS,16,8,16,50.05,119,1051.2,1066,underutilized
411,GCP,16,8,16,47.96,148,1055.2,1038,overutilized
412,AWS,16,8,16,55.79,114,1050.6,876,underutilized
413,AWS,64,16,32,56.98,62,3332.2,1382,underutilized
414,AWS,4,2,8,91.64,118,325.4,852,overutilized
415,AWS,4,1,8,90.2,139,283,998,overutilized
416,GCP,64,16,32,74.91,89,3319.6,1301,optimal
417,On-prem,64,16,32,77.86,267,2663.2,1786,overutilized
418,AWS,32,16,16,97.9,148,2021.4,1081,overutilized
419,AWS,4,1,8,42.22,118,285.4,882,underutilized
420,AWS,32,16,16,93.86,45,2029.4,1079,overutilized
421,AWS,2,1,8,40.16,123,202.8,954,underutilized
422,GCP,8,1,8,48.78,83,448.4,1011,underutilized
423,GCP,32,16,16,60.49,113,2035.4,1214,optimal
424,On-prem,2,1,8,89.05,149,162.4,789,overutilized
425,GCP,1,1,8,42.39,99,162.4,946,underutilized
426,GCP,64,16,32,96.73,66,3325.4,1701,overutilized
427,On-prem,32,16,16,95.81,80,1619.2,1015,overutilized
428,AWS,32,16,16,57.14,72,2038.6,1283,underutilized
429,AWS,4,2,8,92.26,82,324.4,961,overutilized
430,AWS,4,1,8,84.75,65,283.4,996,overutilized
431,On-prem,64,16,32,69.48,262,2661.4,1569,optimal
432,GCP,8,2,8,73.66,121,485.4,728,optimal
433,GCP,8,2,8,71.32,45,487,908,optimal
434,GCP,64,16,32,42.61,98,3331.4,1277,underutilized
435,GCP,1,1,8,91.54,67,163.2,911,overutilized
436,GCP,8,1,8,53.1,120,445,767,underutilized
437,GCP,64,16,32,80.25,46,3336.4,1348,overutilized
438,GCP,32,16,16,76.87,59,2029.4,1238,optimal
439,On-prem,2,1,8,84.34,270,161.8,675,overutilized
440,On-prem,4,1,8,88.79,251,227.2,961,overutilized
441,AWS,32,16,16,47.24,58,2029.4,952,underutilized
442,AWS,2,1,8,59.14,59,202.8,960,underutilized
443,On-prem,16,8,16,53.09,264,841.8,900,underutilized
444,AWS,2,1,8,77.97,95,202.8,913,optimal
445,AWS,32,16,16,41.46,97,2025.8,1207,underutilized
446,On-prem,4,1,8,54.56,258,226.2,712,underutilized
447,GCP,4,1,8,66.74,50,284.6,726,optimal
448,AWS,16,8,16,40.23,86,1056.8,843,underutilized
449,AWS,64,16,32,63.82,79,3345.2,1476,optimal
450,AWS,4,1,8,88.22,115,284.4,974,overutilized
451,On-prem,32,16,16,57.49,63,1622.4,1022,underutilized
452,AWS,32,16,16,58.18,113,2034.2,1040,underutilized
453,AWS,32,16,16,43.7,145,2040,1174,overutilized
454,GCP,64,16,32,76.26,146,3326.4,1232,overutilized
455,GCP,2,1,8,77.99,97,203.2,835,optimal
456,AWS,4,2,8,68.22,142,324,931,overutilized
457,AWS,16,4,16,85.93,97,890.4,1105,overutilized
458,GCP,32,16,16,72.49,80,2025,1219,optimal
459,GCP,4,2,8,65.38,106,326.2,934,optimal
460,GCP,2,1,8,68.67,136,203.2,743,optimal
461,GCP,4,2,8,40.03,118,326.2,960,underutilized
462,AWS,4,2,8,84.91,129,325.2,706,overutilized
463,AWS,4,2,8,57.11,127,323.8,715,underutilized
464,GCP,1,1,8,87.03,82,162.4,666,overutilized
465,AWS,4,2,8,48.24,96,325.2,980,underutilized
466,GCP,8,1,8,81.18,43,447,954,overutilized
467,GCP,16,4,16,56.38,149,892.4,929,overutilized
468,AWS,16,8,16,78.05,116,1055.4,992,optimal
469,AWS,8,1,8,70.54,128,447.2,954,optimal
470,GCP,16,4,16,72.61,40,895,986,optimal
471,On-prem,64,16,32,65.92,162,2650.4,1469,optimal
472,On-prem,2,1,8,71.6,273,162,964,optimal
473,GCP,2,1,8,62.01,80,203.4,894,optimal
474,AWS,32,16,16,83.69,45,2030.2,936,overutilized
475,AWS,4,2,8,79.11,88,326,760,optimal
